"system","code","display","count"
"http://loinc.org","46240-8","History of Hospitalizations+Outpatient visits",6289
"http://loinc.org","6844-5","Honey bee IgE Ab in Serum",5554
"http://loinc.org","71802-3","Housing status",6289
"http://loinc.org","92134-6","Human metapneumovirus RNA [Presence] in Respiratory specimen by NAA with probe detection",6009
"http://loinc.org","6301-6","INR in Platelet poor plasma by Coagulation assay",10313
"http://loinc.org","80382-5","Influenza virus A Ag [Presence] in Nasopharynx by Rapid immunoassay",2917
"http://loinc.org","92142-9","Influenza virus A RNA [Presence] in Respiratory specimen by NAA with probe detection",6009
"http://loinc.org","80383-3","Influenza virus B Ag [Presence] in Nasopharynx by Rapid immunoassay",2917
"http://loinc.org","92141-1","Influenza virus B RNA [Presence] in Respiratory specimen by NAA with probe detection",6009
"http://loinc.org","26881-3","Interleukin 6 [Mass/volume] in Serum or Plasma",114
"http://loinc.org","2498-4","Iron [Mass/volume] in Serum or Plasma",2237
"http://loinc.org","2500-7","Iron binding capacity [Mass/volume] in Serum or Plasma",2237
"http://loinc.org","2502-3","Iron saturation [Mass Fraction] in Serum or Plasma",2237
"http://loinc.org","5797-6","Ketones [Mass/volume] in Urine by Test strip",800563
"http://loinc.org","2514-8","Ketones [Presence] in Urine by Test strip",800563
"http://loinc.org","72091-2","Knee injury and Osteoarthritis Outcome Score [KOOS]",20
"http://loinc.org","59032-3","Lactate [Mass/volume] in Blood",826
"http://loinc.org","14804-9","Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction",10313
"http://loinc.org","6158-0","Latex IgE Ab in Serum",5554
"http://loinc.org","10230-1","Left ventricular Ejection fraction",3387
"http://loinc.org","5799-2","Leukocyte esterase [Presence] in Urine by Test strip",800563
"http://loinc.org","6690-2","Leukocytes [#/volume] in Blood by Automated count",213640
"http://loinc.org","18262-6","Low Density Lipoprotein Cholesterol",591659
"http://loinc.org","85352-3","Lymph nodes with isolated tumor cells [#] in Cancer specimen by Light microscopy",387
"http://loinc.org","85343-2","Lymph nodes with macrometastases [#] in Cancer specimen by Light microscopy",90
"http://loinc.org","85344-0","Lymph nodes with micrometastases [#] in Cancer specimen by Light microscopy",167
"http://loinc.org","731-0","Lymphocytes [#/volume] in Blood by Automated count",19359
"http://loinc.org","736-9","Lymphocytes/100 leukocytes in Blood by Automated count",19359
"http://loinc.org","785-6","MCH [Entitic mass] by Automated count",221673
"http://loinc.org","786-4","MCHC [Mass/volume] by Automated count",221673
"http://loinc.org","30428-7","MCV",244
"http://loinc.org","787-2","MCV [Entitic volume] by Automated count",221673
"http://loinc.org","19123-9","Magnesium [Mass/volume] in Serum or Plasma",2237
"http://loinc.org","8478-0","Mean blood pressure",526
"http://loinc.org","75443-2","Mental health Outpatient Note",1055
"http://loinc.org","84215-3","Mental health Telehealth Note",743
"http://loinc.org","14959-1","Microalbumin Creatinine Ratio",257286
"http://loinc.org","742-7","Monocytes [#/volume] in Blood by Automated count",19359
"http://loinc.org","5905-5","Monocytes/100 leukocytes in Blood by Automated count",19359
"http://loinc.org","33762-6","NT-proBNP",2237
"http://loinc.org","751-8","Neutrophils [#/volume] in Blood by Automated count",28992
"http://loinc.org","770-8","Neutrophils/100 leukocytes in Blood by Automated count",19359
"http://loinc.org","5802-4","Nitrite [Presence] in Urine by Test strip",800563
"http://loinc.org","88021-1","Objective assessment of cardiovascular disease NYHA",675
"http://loinc.org","5767-9","Odor of Urine",800563
"http://loinc.org","2713-6","Oxygen Saturation",526
"http://loinc.org","2703-7","Oxygen [Partial pressure] in Arterial blood",6925
"http://loinc.org","2708-6","Oxygen saturation in Arterial blood",36703
"http://loinc.org","19994-3","Oxygen/Inspired gas setting [Volume Fraction] Ventilator",6925
"http://loinc.org","62337-1","PROMIS item bank - 29 profile",5
"http://loinc.org","61576-5","PROMIS short form - global - version 1.1",18
"http://loinc.org","91148-7","Pain intensity, Enjoyment of life, General activity (PEG) 3 item pain scale",53218
"http://loinc.org","72514-3","Pain severity - 0-10 verbal numeric rating [Score] - Reported",2748059
"http://loinc.org","38208-5","Pain severity - Reported",128647
"http://loinc.org","92140-3","Parainfluenza virus 1 RNA [Presence] in Respiratory specimen by NAA with probe detection",6009
"http://loinc.org","92139-5","Parainfluenza virus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection",6009
"http://loinc.org","92138-7","Parainfluenza virus 3 RNA [Presence] in Respiratory specimen by NAA with probe detection",6009
"http://loinc.org","55758-7","Patient Health Questionnaire 2 item (PHQ-2) total score [Reported]",1007217
"http://loinc.org","44261-6","Patient Health Questionnaire 9 item (PHQ-9) total score [Reported]",60553
"http://loinc.org","89204-2","Patient Health Questionnaire-9: Modified for Teens total score [Reported.PHQ.Teen]",50837
"http://loinc.org","6206-7","Peanut IgE Ab in Serum",5554
"http://loinc.org","66519-0","Percentage area affected by eczema Head and Neck",600
"http://loinc.org","66534-9","Percentage area affected by eczema Lower extremitiy - bilateral",600
"http://loinc.org","66529-9","Percentage area affected by eczema Trunk",600
"http://loinc.org","66524-0","Percentage area affected by eczema Upper extremitiy - bilateral",600
"http://loinc.org","80271-0","Physical findings of Abdomen by Palpation",244
"http://loinc.org","32465-7","Physical findings of Prostate",6647
"http://loinc.org","26515-7","Platelet Count",244
"http://loinc.org","32207-3","Platelet distribution width [Entitic volume] in Blood by Automated count",200110
"http://loinc.org","32623-1","Platelet mean volume [Entitic volume] in Blood by Automated count",200110
"http://loinc.org","777-3","Platelets [#/volume] in Blood by Automated count",221673
"http://loinc.org","33756-8","Polyp size greatest dimension by CAP cancer protocols",5724
"http://loinc.org","6298-4","Potassium",1791259
"http://loinc.org","2823-3","Potassium",244
"http://loinc.org","2823-3","Potassium [Moles/volume] in Serum or Plasma",21596
"http://loinc.org","21905-5","Primary tumor.clinical [Class] Cancer",644
"http://loinc.org","33959-8","Procalcitonin [Mass/volume] in Serum or Plasma",10313
"http://loinc.org","85339-0","Progesterone receptor Ag [Presence] in Breast cancer specimen by Immune stain",644
"http://loinc.org","2857-1","Prostate specific Ag [Mass/volume] in Serum or Plasma",6647
"http://loinc.org","2885-2","Protein",244
"http://loinc.org","2885-2","Protein [Mass/volume] in Serum or Plasma",288409
"http://loinc.org","5804-0","Protein [Mass/volume] in Urine by Test strip",800563
"http://loinc.org","20454-5","Protein [Presence] in Urine by Test strip",800563
"http://loinc.org","5902-2","Prothrombin time (PT)",10313
"http://loinc.org","93025-5","Protocol for Responding to and Assessing Patients' Assets, Risks, and Experiences [PRAPARE]",1285398
"http://loinc.org","789-8","RBC Auto (Bld) [#/Vol]",8033
"http://loinc.org","30385-9","RBC Distribution Width",244
"http://loinc.org","21000-5","RDW - Erythrocyte distribution width Auto (RBC) [Entitic vol]",8033
"http://loinc.org","26453-1","Red Blood Cell",244
"http://loinc.org","21906-3","Regional lymph nodes.clinical [Class] Cancer",644
"http://loinc.org","9279-1","Respiratory rate",1576792
"http://loinc.org","92131-2","Respiratory syncytial virus RNA [Presence] in Respiratory specimen by NAA with probe detection",6009
"http://loinc.org","88040-1","Response to cancer treatment",3198
"http://loinc.org","92130-4","Rhinovirus RNA [Presence] in Respiratory specimen by NAA with probe detection",6009
"http://loinc.org","94531-1","SARS-CoV-2 RNA Pnl Resp NAA+probe",11908
"http://loinc.org","76690-7","Sexual orientation",6289
"http://loinc.org","6246-3","Shrimp IgE Ab in Serum",5554
"http://loinc.org","44667-4","Site of distant metastasis in Breast tumor",630
"http://loinc.org","33728-7","Size.maximum dimension in Tumor",630
"http://loinc.org","2951-2","Sodium",244
"http://loinc.org","2947-0","Sodium",1791259
"http://loinc.org","2951-2","Sodium [Moles/volume] in Serum or Plasma",21596
"http://loinc.org","6248-9","Soybean IgE Ab in Serum",5554
"http://loinc.org","5811-5","Specific gravity of Urine by Test strip",800563
"http://loinc.org","21908-9","Stage group.clinical Cancer",1274
"http://loinc.org","75325-1","Symptom",4056
"http://loinc.org","3016-3","Thyrotropin [Units/volume] in Serum or Plasma",299
"http://loinc.org","3024-7","Thyroxine (T4) free [Mass/volume] in Serum or Plasma",299
"http://loinc.org","72166-2","Tobacco smoking status",1548575
"http://loinc.org","42719-5","Total Bilirubin (Elevated)",244
"http://loinc.org","2093-3","Total Cholesterol",591659
"http://loinc.org","75626-2","Total score [AUDIT-C]",387623
"http://loinc.org","82667-7","Total score [DAST-10]",388687
"http://loinc.org","76504-0","Total score [HARK]",385773
"http://loinc.org","72106-8","Total score [MMSE]",7900
"http://loinc.org","22577-1","Toxoplasma gondii Ab [Presence] in Serum",11
"http://loinc.org","59557-9","Treatment status Cancer",635
"http://loinc.org","2571-8","Triglycerides",591659
"http://loinc.org","89579-7","Troponin I.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method",12550
"http://loinc.org","21924-6","Tumor marker Cancer",28
"http://loinc.org","46288-7","US Guidance for biopsy of Prostate",1045
"http://loinc.org","3094-0","Urea Nitrogen",244
"http://loinc.org","6299-2","Urea Nitrogen",1791259
"http://loinc.org","3094-0","Urea nitrogen [Mass/volume] in Serum or Plasma",21596
"http://loinc.org","71934-4","Veterans Rand health survey - 12 item (VR-12)",18
"http://loinc.org","71933-6","Veterans Rand health survey - 36 item (VR-36)",2
"http://loinc.org","6690-2","WBC Auto (Bld) [#/Vol]",8033
"http://loinc.org","6273-7","Walnut IgE Ab in Serum",5554
"http://loinc.org","74006-8","Weight difference [Mass difference] --pre dialysis - post dialysis",1167181
"http://loinc.org","77606-2","Weight-for-length Per age and sex",119221
"http://loinc.org","6276-0","Wheat IgE Ab in Serum",5554
"http://loinc.org","26464-8","White Blood Cell (Elevated)",244
"http://loinc.org","6189-5","White oak IgE Ab in Serum",5554
"http://loinc.org","2744-1","pH of Arterial blood",6925
"http://loinc.org","5803-2","pH of Urine by Test strip",800563
