"value","count"
29.7,197900
29.8,198311
29.9,198697
30,199084
30.1,199514
30.2,199919
30.3,200299
30.4,200663
30.5,201057
30.6,201434
30.7,201852
30.8,202295
30.9,202731
31,203128
31.1,203516
31.2,203824
31.3,204231
31.4,204575
31.5,204982
31.6,205344
31.7,205780
31.8,206163
31.9,206579
32,206953
32.1,207319
32.2,207731
32.3,208110
32.4,208497
32.5,208844
32.6,209240
32.7,209586
32.8,209965
32.9,210370
33,210725
33.1,211098
33.2,211482
33.3,211846
33.4,212196
33.5,212556
33.6,212934
33.7,213285
33.8,213638
33.9,213980
34,214293
34.1,214657
34.2,215003
34.3,215403
34.4,215761
34.5,216084
34.6,216442
34.7,216824
34.8,217174
34.9,217503
35,217823
35.1,218189
35.2,218541
35.3,218865
35.4,219278
35.5,219612
35.6,219939
35.7,220314
35.8,220652
35.9,221062
36,221410
36.1,221757
36.2,222093
36.3,222424
36.4,222734
36.5,223092
36.6,223386
36.7,223754
36.8,224082
36.9,224432
37,224801
37.1,225105
37.2,225432
37.3,225749
37.4,226099
37.5,226398
37.6,226718
37.7,227062
37.8,227364
37.9,227723
38,228000
38.1,228302
38.2,228621
38.3,228979
38.4,229280
38.5,229607
38.6,229919
38.7,230229
38.8,230591
38.9,230960
39,231309
39.1,231612
39.2,231922
39.3,232250
39.4,232626
39.5,232926
39.6,233326
39.7,233666
39.8,233992
39.9,234353
40,234693
40.1,235023
40.2,235339
40.3,235678
40.4,236013
40.5,236356
40.6,236725
40.7,237062
40.8,237387
40.9,237696
41,238041
41.1,238388
41.2,238709
41.3,239026
41.4,239320
41.5,239694
41.6,240036
41.7,240342
41.8,240677
41.9,241028
42,241362
42.1,241679
42.2,241959
42.3,242275
42.4,242586
42.5,242908
42.6,243201
42.7,243519
42.8,243877
42.9,244216
43,244512
43.1,244907
43.2,245271
43.3,245622
43.4,245958
43.5,246285
43.6,246605
43.7,246919
43.8,247276
43.9,247627
44,247948
44.1,248341
44.2,248688
44.3,249015
44.4,249413
44.5,249745
44.6,250077
44.7,250437
44.8,250822
44.9,251159
45,251491
45.1,251859
45.2,252182
45.3,252623
45.4,253004
45.5,253351
45.6,253714
45.7,254165
45.8,254527
45.9,254919
46,255340
46.1,255775
46.2,256143
46.3,256559
46.4,256947
46.5,257290
46.6,257664
46.7,258076
46.8,258472
46.9,258871
47,259241
47.1,259651
47.2,260085
47.3,260514
47.4,260943
47.5,261327
47.6,261749
47.7,262151
47.8,262573
47.9,262978
48,263437
48.1,263895
48.2,264316
48.3,264747
48.4,265174
48.5,265590
48.6,266029
48.7,266486
48.8,266937
48.9,267424
49,267897
49.1,268356
49.2,268817
49.3,269274
49.4,269768
49.5,270201
49.6,270676
49.7,271069
49.8,271507
49.9,271985
50,272397
50.1,272883
50.2,273364
50.3,273840
50.4,274388
50.5,274835
50.6,275408
50.7,275939
50.8,276360
50.9,276827
51,277365
51.1,277891
51.2,278389
51.3,278891
51.4,279386
51.5,279947
51.6,280458
51.7,281003
51.8,281573
51.9,282047
52,282607
52.1,283178
52.2,283704
52.3,284320
52.4,284812
52.5,285386
52.6,286004
52.7,286557
52.8,287168
52.9,287762
53,288354
53.1,288862
53.2,289436
53.3,290088
53.4,290708
53.5,291274
53.6,291828
53.7,292417
53.8,293041
53.9,293674
54,294310
54.1,294925
54.2,295541
54.3,296130
54.4,296624
54.5,297213
54.6,297795
54.7,298468
54.8,299031
54.9,299569
55,300153
55.1,300750
55.2,301310
55.3,301890
55.4,302505
55.5,303148
55.6,303736
55.7,304418
55.8,305026
55.9,305767
56,306373
56.1,306957
56.2,307615
56.3,308275
56.4,308908
56.5,309685
56.6,310355
56.7,311052
56.8,311705
56.9,312435
57,313146
57.1,313815
57.2,314418
57.3,315052
57.4,315772
57.5,316492
57.6,317108
57.7,317714
57.8,318453
57.9,319106
58,319729
58.1,320681
58.2,321364
58.3,321992
58.4,322713
58.5,323368
58.6,324027
58.7,324790
58.8,325519
58.9,326268
59,327012
59.1,327739
59.2,328519
59.3,329255
59.4,329964
59.5,330770
59.6,331474
59.7,332250
59.8,333051
59.9,333796
60,334532
60.1,335235
60.2,336050
60.3,336797
60.4,337582
60.5,338314
60.6,339191
60.7,340015
60.8,340832
60.9,341774
61,342485
61.1,343396
61.2,344266
61.3,345136
61.4,346220
61.5,347091
61.6,348004
61.7,348902
61.8,349692
61.9,350606
62,351498
62.1,352339
62.2,353277
62.3,354194
62.4,355150
62.5,356127
62.6,357013
62.7,357921
62.8,358992
62.9,359718
63,360661
63.1,361784
63.2,362802
63.3,363944
63.4,364934
63.5,365911
63.6,366869
63.7,367999
63.8,369136
63.9,370168
64,371411
64.1,372525
64.2,373715
64.3,374778
64.4,375981
64.5,377283
64.6,378594
64.7,379980
64.8,381284
64.9,382639
65,383871
65.1,385254
65.2,386516
65.3,387927
65.4,389212
65.5,390535
65.6,391641
65.7,392914
65.8,394250
65.9,395758
66,397309
66.1,398853
66.2,400534
66.3,402013
66.4,403438
66.5,405215
66.6,406839
66.7,408360
66.8,409854
66.9,411640
67,413373
67.1,415119
67.2,416811
67.3,418539
67.4,420265
67.5,422199
67.6,423839
67.7,425537
67.8,427442
67.9,429055
68,430947
68.1,432701
68.2,434726
68.3,436886
68.4,438798
68.5,440829
68.6,442771
68.7,444609
68.8,446925
68.9,448927
69,450691
69.1,452765
69.2,454826
69.3,457008
69.4,459055
69.5,461057
69.6,463313
69.7,465357
69.8,467609
69.9,469907
70,472148
70.1,474722
70.2,477049
70.3,479375
70.4,481776
70.5,484033
70.6,486671
70.7,489105
70.8,491806
70.9,494384
71,496943
71.1,499539
71.2,502159
71.3,504612
71.4,507279
71.5,510011
71.6,512851
71.7,515548
71.8,518281
71.9,521067
72,524156
72.1,527190
72.2,530154
72.3,533008
72.4,535675
72.5,538617
72.6,541620
72.7,544371
72.8,547426
72.9,550424
73,553325
73.1,556482
73.2,559335
73.3,562585
73.4,565777
73.5,568950
73.6,571828
73.7,575033
73.8,577885
73.9,580763
74,583787
74.1,586912
74.2,590029
74.3,592914
74.4,596087
74.5,599025
74.6,602216
74.7,605597
74.8,608590
74.9,612000
75,615490
75.1,619025
75.2,622021
75.3,625505
75.4,628796
75.5,632423
75.6,635263
75.7,638445
75.8,641602
75.9,645238
76,648606
76.1,651873
76.2,655480
76.3,659040
76.4,661863
76.5,665297
76.6,668885
76.7,672232
76.8,675798
76.9,678950
77,682312
77.1,685859
77.2,689278
77.3,692776
77.4,696325
77.5,699793
77.6,703619
77.7,707244
77.8,710817
77.9,714218
78,717668
78.1,721029
78.2,724239
78.3,727267
78.4,731026
78.5,734661
78.6,738683
78.7,742100
78.8,745595
78.9,749382
79,752814
79.1,756515
79.2,760053
79.3,763490
79.4,767170
79.5,770553
79.6,774351
79.7,777618
79.8,780993
79.9,784476
80,788368
80.1,791745
80.2,795430
80.3,798949
80.4,802193
80.5,805431
80.6,808649
80.7,811779
80.8,814982
80.9,818665
81,822195
81.1,825636
81.2,829481
81.3,832928
81.4,836092
81.5,839406
81.6,842704
81.7,846088
81.8,849261
81.9,852653
82,856260
82.1,859703
82.2,862579
82.3,865946
82.4,869268
82.5,872918
82.6,876357
82.7,879764
82.8,882955
82.9,886361
83,889778
83.1,893189
83.2,896633
83.3,900026
83.4,903407
83.5,906548
83.6,909512
83.7,912864
83.8,916214
83.9,919661
84,923067
84.1,926691
84.2,929203
84.3,931971
84.4,934993
84.5,938579
84.6,941958
84.7,944953
84.8,948102
84.9,951048
85,954026
85.1,957247
85.2,960404
85.3,963849
85.4,966646
85.5,970016
85.6,972941
85.7,975989
85.8,979111
85.9,982397
86,985427
86.1,988607
86.2,991611
86.3,994265
86.4,997369
86.5,1000329
86.6,1003503
86.7,1006493
86.8,1009242
86.9,1011969
87,1014706
87.1,1017564
87.2,1020292
87.3,1022818
87.4,1025852
87.5,1028483
87.6,1031508
87.7,1034957
87.8,1038051
87.9,1040793
88,1043796
88.1,1046380
88.2,1049038
88.3,1051894
88.4,1054744
88.5,1057353
88.6,1060389
88.7,1063721
88.8,1066226
88.9,1069306
89,1071944
89.1,1074623
89.2,1077247
89.3,1079829
89.4,1082510
89.5,1085181
89.6,1088253
89.7,1090962
89.8,1093655
89.9,1096135
90,1098943
90.1,1101711
90.2,1103918
90.3,1106660
90.4,1109202
90.5,1111597
90.6,1114274
90.7,1116846
90.8,1119635
90.9,1122243
91,1124858
91.1,1127597
91.2,1129931
91.3,1132236
91.4,1134295
91.5,1136721
91.6,1138866
91.7,1141046
91.8,1143458
91.9,1145634
92,1148202
92.1,1150573
92.2,1152817
92.3,1154713
92.4,1157294
92.5,1159422
92.6,1161588
92.7,1164014
92.8,1166370
92.9,1168376
93,1170545
93.1,1172681
93.2,1174597
93.3,1176838
93.4,1179044
93.5,1181408
93.6,1183419
93.7,1185425
93.8,1187288
93.9,1189366
94,1191217
94.1,1193213
94.2,1195054
94.3,1196905
94.4,1198850
94.5,1200547
94.6,1202367
94.7,1204127
94.8,1205895
94.9,1207558
95,1209238
95.1,1210882
95.2,1212776
95.3,1214407
95.4,1216158
95.5,1217685
95.6,1219342
95.7,1221066
95.8,1222823
95.9,1224296
96,1225688
96.1,1227452
96.2,1229477
96.3,1231084
96.4,1232719
96.5,1234519
96.6,1235879
96.7,1237332
96.8,1238732
96.9,1240034
97,1241584
97.1,1243026
97.2,1244476
97.3,1245759
97.4,1247041
97.5,1248416
97.6,1249615
97.7,1250738
97.8,1252146
97.9,1253283
98,1254723
98.1,1255875
98.2,1257119
98.3,1258667
98.4,1259933
98.5,1260996
98.6,1262178
98.7,1263337
98.8,1264659
98.9,1265874
99,1267083
99.1,1268246
99.2,1269198
99.3,1270268
99.4,1271299
99.5,1272254
99.6,1273253
99.7,1274318
99.8,1275535
99.9,1276502
100,1277480
100.1,1278503
100.2,1279632
100.3,1280564
100.4,1281564
100.5,1282341
100.6,1283190
100.7,1284079
100.8,1284957
100.9,1285849
101,1286754
101.1,1287463
101.2,1288199
101.3,1289154
101.4,1289906
101.5,1290810
101.6,1291634
101.7,1292322
101.8,1293091
101.9,1293847
102,1294552
102.1,1295337
102.2,1296023
102.3,1296805
102.4,1297540
102.5,1298210
102.6,1298855
102.7,1299340
102.8,1300092
102.9,1300773
103,1301430
103.1,1302069
103.2,1302786
103.3,1303440
103.4,1304065
103.5,1304779
103.6,1305348
103.7,1305839
103.8,1306357
103.9,1306825
104,1307318
104.1,1307716
104.2,1308279
104.3,1308771
104.4,1309320
104.5,1309752
104.6,1310391
104.7,1310882
104.8,1311340
104.9,1311773
105,1312300
105.1,1312757
105.2,1313112
105.3,1313528
105.4,1313965
105.5,1314347
105.6,1314774
105.7,1315099
105.8,1315459
105.9,1315886
106,1316226
106.1,1316553
106.2,1316875
106.3,1317271
106.4,1317589
106.5,1317951
106.6,1318347
106.7,1318761
106.8,1319101
106.9,1319370
107,1319683
107.1,1320050
107.2,1320400
107.3,1320674
107.4,1321061
107.5,1321311
107.6,1321598
107.7,1322014
107.8,1322283
107.9,1322622
108,1322967
108.1,1323212
108.2,1323401
108.3,1323584
108.4,1323789
108.5,1324054
108.6,1324215
108.7,1324480
108.8,1324837
108.9,1325210
109,1325467
109.1,1325742
109.2,1325936
109.3,1326080
109.4,1326243
109.5,1326457
109.6,1326790
109.7,1326975
109.8,1327124
109.9,1327360
110,1327663
110.1,1327961
110.2,1328179
110.3,1328352
110.4,1328618
110.5,1328885
110.6,1329081
110.7,1329328
110.8,1329466
110.9,1329682
111,1329920
111.1,1330033
111.2,1330209
111.3,1330365
111.4,1330581
111.5,1330704
111.6,1330858
111.7,1330951
111.8,1331075
111.9,1331195
112,1331316
112.1,1331426
112.2,1331543
112.3,1331625
112.4,1331767
112.5,1331892
112.6,1332064
112.7,1332232
112.8,1332471
112.9,1332690
113,1332893
113.1,1333018
113.2,1333126
113.3,1333267
113.4,1333371
113.5,1333530
113.6,1333644
113.7,1333771
113.8,1333915
113.9,1333965
114,1334035
114.1,1334227
114.2,1334275
114.3,1334353
114.4,1334444
114.5,1334505
114.6,1334666
114.7,1334745
114.8,1334783
114.9,1334862
115,1334906
115.1,1334966
115.2,1335052
115.3,1335099
115.4,1335180
115.5,1335238
115.6,1335289
115.7,1335358
115.8,1335383
115.9,1335481
116,1335542
116.1,1335616
116.2,1335671
116.3,1335699
116.4,1335759
116.5,1335795
116.6,1335856
116.7,1335896
116.8,1335959
116.9,1336009
117,1336069
117.1,1336107
117.2,1336136
117.3,1336189
117.4,1336218
117.5,1336255
117.6,1336330
117.7,1336431
117.8,1336480
117.9,1336521
118,1336596
118.1,1336689
118.2,1336754
118.3,1336792
118.4,1336896
118.5,1336941
118.6,1336974
118.7,1337044
118.8,1337132
118.9,1337203
119,1337278
119.1,1337327
119.2,1337421
119.3,1337503
119.4,1337573
119.5,1337642
119.6,1337691
119.7,1337736
119.8,1337841
119.9,1337866
120,1337937
120.1,1337985
120.2,1338019
120.3,1338051
120.4,1338089
120.5,1338139
120.6,1338167
120.7,1338176
120.8,1338207
120.9,1338229
121,1338283
121.1,1338314
121.2,1338369
121.3,1338415
121.4,1338461
121.5,1338538
121.6,1338553
121.7,1338561
121.8,1338607
121.9,1338611
122,1338647
122.1,1338705
122.2,1338715
122.3,1338744
122.4,1338803
122.5,1338899
122.6,1338947
122.7,1338982
122.8,1339004
122.9,1339012
123,1339058
123.1,1339071
123.2,1339100
123.3,1339104
123.4,1339116
123.5,1339145
123.6,1339181
123.7,1339193
123.8,1339221
123.9,1339241
124,1339305
124.1,1339340
124.2,1339370
124.3,1339418
124.4,1339455
124.5,1339488
124.6,1339547
124.7,1339554
124.8,1339563
124.9,1339610
125,1339627
125.1,1339656
125.2,1339685
125.3,1339694
125.4,1339699
125.5,1339704
125.6,1339729
125.7,1339763
125.8,1339786
125.9,1339798
126,1339818
126.1,1339822
126.2,1339839
126.3,1339892
126.4,1339949
126.5,1339975
126.6,1340030
126.7,1340062
126.8,1340093
126.9,1340124
127,1340142
127.1,1340208
127.2,1340226
127.3,1340246
127.4,1340305
127.5,1340307
127.6,1340348
127.7,1340365
127.8,1340370
127.9,1340391
128,1340393
128.1,1340423
128.2,1340437
128.3,1340446
128.4,1340448
128.5,1340485
128.6,1340543
128.7,1340564
128.8,1340566
128.9,1340575
129,1340585
129.1,1340603
129.2,1340641
129.3,1340664
129.4,1340668
129.5,1340694
129.6,1340716
129.7,1340746
129.8,1340773
129.9,1340785
130,1340813
130.1,1340827
130.2,1340833
130.3,1340865
130.4,1340886
130.5,1340914
130.6,1340957
130.7,1340971
130.8,1340992
130.9,1341010
131,1341013
131.1,1341018
131.2,1341037
131.3,1341060
131.4,1341091
131.5,1341121
131.6,1341129
131.7,1341133
131.8,1341144
131.9,1341182
132,1341199
132.1,1341211
132.2,1341214
132.3,1341311
132.4,1341361
132.5,1341368
132.6,1341378
132.7,1341436
132.8,1341450
132.9,1341464
133,1341480
133.1,1341486
133.2,1341527
133.3,1341537
133.4,1341584
133.5,1341593
133.6,1341616
133.7,1341618
133.8,1341622
133.9,1341651
134,1341676
134.1,1341678
134.2,1341691
134.3,1341715
134.4,1341751
134.5,1341789
134.6,1341796
134.7,1341844
134.8,1341847
134.9,1341862
135,1341875
135.3,1341900
135.4,1341901
135.5,1341924
135.6,1341929
135.7,1341936
135.8,1341947
135.9,1341956
136,1341963
136.1,1341987
136.2,1342021
136.3,1342028
136.4,1342056
136.5,1342083
136.6,1342085
136.7,1342109
136.8,1342112
136.9,1342126
137,1342150
137.1,1342167
137.2,1342168
137.3,1342174
137.4,1342176
137.6,1342179
137.7,1342180
137.8,1342182
137.9,1342196
138,1342199
138.1,1342203
138.2,1342226
138.3,1342234
138.4,1342284
138.5,1342285
138.6,1342314
138.7,1342316
138.8,1342324
138.9,1342330
139,1342341
139.1,1342365
139.2,1342377
139.3,1342379
139.4,1342381
139.5,1342395
139.6,1342407
139.7,1342410
139.8,1342412
139.9,1342416
140,1342417
140.1,1342428
140.3,1342429
140.4,1342438
140.6,1342439
140.7,1342443
140.8,1342460
140.9,1342486
141,1342487
141.2,1342495
141.3,1342500
141.4,1342505
141.6,1342543
141.7,1342547
141.8,1342548
142,1342558
142.1,1342559
142.2,1342570
142.4,1342573
142.5,1342595
142.6,1342596
142.8,1342629
142.9,1342737
143,1342749
143.1,1342752
143.2,1342779
143.4,1342780
143.5,1342782
143.7,1342783
143.9,1342794
144,1342810
144.1,1342822
144.2,1342823
144.3,1342824
144.4,1342837
144.6,1342838
144.7,1342841
144.8,1342842
144.9,1342843
145,1342846
145.1,1342847
145.2,1342859
145.3,1342861
145.4,1342863
145.5,1342865
145.6,1342866
145.7,1342867
145.8,1342874
146,1342900
146.1,1342908
146.2,1342918
146.3,1342920
146.5,1342921
146.6,1342923
146.8,1342924
147,1342926
147.2,1342928
147.4,1342940
147.5,1342942
147.6,1342961
147.7,1342973
147.8,1342978
147.9,1342979
148,1342980
148.1,1342991
148.2,1342997
148.4,1343001
148.5,1343012
148.7,1343013
148.8,1343029
148.9,1343030
149,1343032
149.1,1343044
149.2,1343045
149.4,1343056
149.5,1343057
149.6,1343058
149.7,1343059
149.8,1343060
149.9,1343075
150,1343081
150.1,1343083
150.5,1343091
150.6,1343095
150.8,1343096
150.9,1343099
151,1343103
151.3,1343104
151.4,1343106
151.5,1343107
151.6,1343113
151.8,1343119
151.9,1343128
152,1343129
152.3,1343130
152.7,1343132
153,1343133
153.2,1343134
153.3,1343135
153.5,1343155
153.6,1343162
153.7,1343163
153.8,1343164
153.9,1343170
154,1343174
154.2,1343181
154.3,1343182
154.5,1343183
155.3,1343184
155.8,1343195
155.9,1343196
156.1,1343197
157.2,1343210
157.3,1343213
157.5,1343215
158.2,1343219
158.7,1343220
159,1343221
159.5,1343222
159.6,1343223
159.8,1343224
159.9,1343233
160.1,1343234
160.3,1343235
160.4,1343240
160.9,1343241
161.2,1343244
161.3,1343253
161.5,1343254
162.2,1343255
163.5,1343256
164.3,1343258
164.8,1343263
168.4,1343271
169.5,1343282
184,1343304
